lng,lat,address
19.193287,47.445553,Miklóstelep
19.05537,47.60341,Békásmegyer – Pusztadomb
19.118286,47.54433,Rákospalota – MÁV-telep
18.971369,47.509514,Zugliget
19.19692,47.509827,Ómátyásföld
19.18775,47.507088,Sashalom – Nagyiccetelep
19.114754,47.492634,Laposdűlő
19.008072,47.395145,Nagytétény – Dunatelep
19.175188,47.49515,Felsőrákos
19.085867,47.47263,Ferencváros
19.08177,47.421917,Csepel-Kertváros
19.042904,47.490856,Tabán
19.114635,47.515083,Kiszugló
19.095896,47.462425,Külső-Ferencváros
19.233608,47.52651,Cinkota – Ilonatelep
19.18235,47.45913,Erzsébettelep
19.056349,47.46746,Nádorkert
19.099571,47.487366,Józsefváros – Ganznegyed
18.999865,47.53291,Csatárka – Látóhegy
19.205482,47.507935,Erzsébetliget
19.109009,47.478977,Népliget
19.105343,47.49488,Századosnegyed
19.067665,47.58519,Kossuth Lajos üdülőpart
18.966871,47.488377,Csillebérc
19.11979,47.401592,Soroksár
19.012022,47.534767,Pálvölgy
19.02004,47.402393,Budatétény – Horgásztelep
19.200148,47.48254,Kőbánya-Kertváros
19.199081,47.53294,Árpádföld
19.247627,47.489452,Régiakadémiatelep
19.063026,47.50519,Oktogon
19.032713,47.501347,Vár
19.107609,47.594677,Káposztásmegyer
19.021631,47.48442,Sashegy
18.98035,47.475372,Pösingermajor
19.204504,47.398556,Erdőskert
19.203411,47.50977,Ómátyásföld – Erzsébetliget
19.211918,47.43763,Szemeretelep
19.027718,47.56443,Törökkő
19.176844,47.40498,Kossuth Ferenc-telep
19.195248,47.518024,Újmátyásföld
19.070084,47.600517,Kossuth Lajos üdülőpart
18.994717,47.41774,Baross Gábor-telep
19.034126,47.599487,Békásmegyer – Józsefhegy
19.061943,47.437954,Csepel-Ófalu
19.070263,47.601603999999995,Békásmegyer – Pünkösdfürdő
19.196920000000002,47.509827,Ómátyásföld
19.080842999999998,47.434006,Csepel-Szabótelep
19.081770000000002,47.421917,Csepel-Kertváros
19.16917,47.483334,Téglagyárdűlő
19.109455,47.588786999999996,Káposztásmegyer – Farkaserdő
19.123363,47.439116999999996,Kossuthfalva
19.187084,47.43138,Gloriett-telep
19.099570999999997,47.487365999999994,Józsefváros – Ganznegyed
18.967283,47.55117,II/A kerület – Hársakalja
19.104591,47.55088,Istvántelek
19.023011999999998,47.533485,Mátyáshegy
19.03715,47.487384999999996,Gellérthegy
19.120295000000002,47.424374,Pacsirtatelep
19.200148000000002,47.48254,Kőbánya-Kertváros
19.000367999999998,47.42917,Budatétény – Erdődűlő
19.102318,47.607044,Székesdűlő
19.105342999999998,47.49488,Századosnegyed
19.075535000000002,47.40773,Csepel-Erdősor
19.131496,47.506523,Nagyzugló – Vitézitelep
19.09958,47.493797,Kerepesdűlő
18.941362,47.537457,Petneházyrét
19.304546,47.468662,Rákoskert – Szárazhegy
19.06396,47.50521,Oktogon
19.132673,47.469025,Kúttó
19.003368,47.55836,Hármashatárhegy
19.129269,47.441727,Szabótelep
19.000368,47.42917,Budatétény – Erdődűlő
19.085613,47.514267,Városliget
19.04043,47.572975,Mocsárosdűlő
19.228127,47.429474,Ganztelep
19.059643,47.52307,Újlipótváros – Rómaikert
19.242517000000007,47.46063,Rákoshegy
19.021547,47.556553,Farkastorok
19.019703,47.44015,Budafok – Rózsavölgy
19.002226,47.53402,Pálvölgy – Látóhegy
18.951397,47.51014,Budakeszierdő
19.259464,47.488834,Rákosliget
19.280668,47.498466,Rákoscsaba-Újtelep
